symbol,name_jp,market,score_0to7,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,digest
1384.T,ホクリヨウ,スタンダード,6,-0.13601036269430056,0.20285271907012925,3.9185185185185185,0.3367533059735522,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満,"1. **2025年3月期の決算は、増収・増益となり、売上高1,939億7,000万円（前年比2.6％増）、営業利益19億2,500万円（同-14.3％減）、経常利益20億100万円（同-13.6％減）、純利益21億8,100万円（同+31.7％増）でした**[3][5][9]。

2. **2026年3月期の会社予想は、売上高2,133億円（前年比10％増）、営業利益29億2,000万円（同51.7％増）、経常利益29億9,000万円（同49.4％増）、純利益20億6,000万円（同-5.5％減）とされ、売上・利益面で大幅な伸びが見込まれています**[5][15]。

3. **事業運営面ではROE（自己資本利益率）の上昇により資本効率が改善しており、バリュエーション指標（PBR等）の改善も期待されています**[3][9]。"
1885.T,東亜建設工業,プライム,6,0.20703547805171385,0.7421038759862564,1.5704800817160367,0.21954641103577274,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり,"東亜建設工業（1885.T）の直近決算および見通しは次の3点です。

- **2025年3月期連結決算は、売上高3,304.72億円（前期比16.4％増）、営業利益206.21億円（前期比19.7％増）と大幅な増収増益。特に海外事業が好調で、海外売上高657.37億円（前期比35.5％増）、海外営業利益42.3億円（前期比237.0％増）と伸長した。**［https://finance.yahoo.co.jp/quote/1885.T/performance］

- **財務面では自己資本比率が35.6％に上昇し、ROE（自己資本利益率）も14.7％まで改善。経営の安定性と収益力向上が示されている。**［https://finance.yahoo.co.jp/quote/1885.T/performance］

- **今期（2026年3月期）も海外事業の強化や大型工事の推進により、引き続き増収増益基調を見込んでいる。原材料価格や人件費高騰には警戒しつつ、利益率の確保と安定成長を目指す方針。**［https://www.youtube.com/watch?v=ZDbCqSkdnnQ］"
5578.T,ＡＲアドバンストテクノロジ,グロース,6,0.734375,0.23069894086284792,1.9027777777777777,0.33182922596320724,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達,"ARアドバンストテクノロジ（5578.T）の直近決算・見通しの要約は以下の3点です。

- **2025年8月期の連結業績は、売上高1,415億円（前年同期比27.2%増）、営業利益8.29億円（同96.7%増）、経常利益7.77億円（同73.4%増）、純利益4.45億円（同61.6%増）と大幅な増収増益となりました**[1][3]。
  
- **業績の成長は、AI駆動型開発体制の強化と株式会社ピー・アール・オーの買収による事業基盤の拡大が主因であり、今期のROEは21.76%に改善、資本効率の向上が示されています**[1][3][4]。

- **自己資本比率は31.4%に低下しましたが、現金および預金は29.12億円（前期比25.0%増）と着実に増加し、財務健全性は維持されています。来期も増益が予想されています（経常利益予想9.6億円、前期比23.6%増）**[1][3][4]。"
5599.T,Ｓ＆Ｊ,グロース,6,0.3260188087774294,0.14793597789501933,0.3956043956043956,0.18805309734513273,True,True,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満,"- **直近決算（2025年3月期）で売上高19.4億円、経常利益4.2億円、純利益3.1億円と前期から大幅増益を達成**[1]。自己資本率も74.1％と堅調な財務基盤を維持している[1]。
- **2026年3月期通期の業績見通しは売上高25.2億円（+5.8億円）、経常利益5.2億円（+0.98億円）とさらなる成長を予想**[3][7]。
- **2026年3月期上期（4-9月）の経常利益は従来の1.0億円から2.8億円へ2.6倍の上方修正。前年同期比でも+48.1%増の大幅増益見通しに転じている**[5]。"
3388.T,明治電機工業,プライム,5,0.07923169267707086,0.08582521311794156,2.2751322751322753,0.11420649590705044,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満,"1. **2026年3月期第1四半期決算は大幅な増収増益**：売上高168.78億円（前年同期比11.4％増）、営業利益5.35億円（同1080.0％増）、経常利益6.19億円（同227.3％増）、当期純利益4.39億円（同230.6％増）と、次世代モビリティや半導体・物流関連の需要増加、円安が業績を押し上げました【https://finance.yahoo.co.jp/quote/3388.T/financials】【https://finance.yahoo.co.jp/quote/3388.T】。

2. **財務状態は改善傾向**：総資産514.29億円（前期末比5.1％減）ながら、自己資本比率は67.0％に上昇し、負債合計が14.7％減少、純資産もわずかに増加し健全性が向上しています【https://finance.yahoo.co.jp/quote/3388.T/financials】。

3. **今後の見通しは引き続き成長期待**：次世代モビリティや半導体・物流分野の需要継続を受け、通期業績予想の変更は無く、成長基調が続く見込みです。次回決算発表は2025年10月31日予定です【https://finance.yahoo.co.jp/quote/3388.T】【https://kabuyoho.jp/sp/reportTarget?bcode=3388】。"
5356.T,美濃窯業,スタンダード,5,0.1436351259360109,0.04855922092678,0.26644736842105265,0.17240328967407859,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満,"美濃窯業（5356.T）の直近決算と見通しを以下の3点に要約します。

**2025年3月期決算は全セグメントで増収増益を達成**
売上高150.58億円（前期比6.3%増）、営業利益15.76億円（同16.6%増）、経常利益16.80億円（同14.4%増）となり、プラント事業が好調で耐火物事業も新規開拓により伸長しました[https://finance.yahoo.co.jp/quote/5356.N/performance][https://kabuyoho.ifis.co.jp/index.php?action=tp1&sa=report&bcode=5356]。

**2026年3月期は増収増益を予想**
売上高160億円（前期比6.3%増）、営業利益17.5億円（同11.0%増）、経常利益18.5億円（同10.1%増）、当期純利益13億円（同6.8%増）を見込んでいます[https://kabutan.jp/stock/finance?code=5356][https://finance.yahoo.co.jp/quote/5356.T/financials]。

**財務基盤の強化が継続**
自己資本比率は68.0%に上昇し、1株当たり配当金は35円（前期28円）から2026年3月期予想では42円への増配を計画しています[https://minkabu.jp/stock/5356/settlement][https://kabutan.jp/stock/finance?code=5356]。"
9271.T,和心,グロース,5,34.36363636363637,,0.6271186440677966,0.28547008547008546,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満,"- **2025年12月期第2四半期（1-6月）累計の連結経常利益は前年同期比50.0％増の2.6億円。インバウンド需要回復と新規出店効果で売上高27.3％増、営業利益41.3％増と大幅な増収増益**[8]。
- **通期業績予想は売上高28億円（前期比33.7％増）、営業利益5.2億円（同25.0％増）、経常利益5.1億円（同31.1％増）と、会社予想を大幅に上方修正。業績好調が持続する見通し**[9][1][5]。
- **自己資本比率も直近51.5％と大幅に改善しており、財務体質の強化が進んでいる**[8][3]。"
1815.T,鉄建建設,プライム,4,0.32835820895522394,0.7708052674805288,2.5035335689045937,0.007104432893751277,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達,"鉄建建設（1815.T）の直近決算と見通しについて、以下3点に要約します。

**2026年3月期第1四半期の業績急拡大**
2026年3月期第1四半期（2025年4-6月）の連結経常利益は前年同期比3.5倍の19.8億円に急拡大し、営業利益も536.2%増の17.12億円と大幅に改善しました[3][7]。売上高は微増の443.7億円となりました[7]。

**2026年3月期通期予想は増益見通し**
2026年3月期通期の会社予想は、売上高1,780億円（前期比3.8%減）、営業利益34億円（同1.7%減）、経常利益33億円（同9.1%増）、最終利益36億円（同5.0%増）を見込んでいます[5]。また、2025年8月7日には中間決算の経常見通しを上方修正しました[4]。

**財務状況と株主還元**
2025年3月期の財務状況は、総資産2,251億円、純資産701億円、自己資本比率31.0%となっています[1]。2026年3月期の予想配当は130円（配当利回り3.61%）で、前期の122円から増配予定です[2][5]。"
1964.T,中外炉工業,プライム,4,0.7520420070011669,0.3808210118138653,-0.5341959334565619,0.20208333333333334,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし,"1. **2025年3月期の通期決算は増収増益**：売上高は362億4,700万円（前年比+20.9%）、営業利益は75億9,000万円（+7.5%）、経常利益は82億8,000万円（+8.3%）、当期純利益は74億7,600万円（+10.1%）と全ての指標で前年を大きく上回った［5］。

2. **2026年3月期 第1四半期も好調を維持**：2025年7月発表の第1四半期決算でも、売上・各利益とも前年同期比で増加傾向を継続している［3］。

3. **今後は受注環境の堅調継続を想定**：主要顧客業界の設備投資拡大や省エネ・脱炭素関連需要を背景に、今後も堅調な業績推移が見込まれている［5］。"
3141.T,ウエルシアホールディングス,プライム,4,-0.14488231845213162,-0.1150801794277696,1.4801040710131619,0.13005112655627532,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達,"ウエルシアホールディングス（3141.T）の直近の決算と見通しについて、以下の3点にまとめます。

1. **売上高と利益の動向**  
   ウエルシアホールディングスの2025年2月期の売上高は1,285億円で、前期比5.6%増加しました[1]。営業利益は364億円で、前期比15.8%減少しました[1]。経常利益は408.3億円で、前期比14.5%減少しました[1]。

2. **四半期業績の増益**  
   第1四半期（3-5月）の連結経常利益は前年同期比41%増益で、9,213百万円に達しました[8]。この結果は、前年同期に比べて大幅に増加しました[8]。

3. **将来の予想**  
   2026年2月期の売上高は1,354.9億円（会社予想）、営業利益は417.7億円、経常利益は481.5億円と、前期比増加が予想されています[5]。"
