symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest
3047.T,ＴＲＵＣＫ－ＯＮＥ,福証Ｑ,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,0.5918367346938775,0.3276715950892297,1.7777777777777777,0.5290780141843971,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,3.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1871.T,ピーエス・コンストラクション,プライム,6,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.5823324292909724,0.4753255705681183,0.356448070285535,0.1731453022358826,True,False,True,True,年率5–10%の安定成長は未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,13.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7326.T,ＳＢＩインシュアランスグループ,グロース,6,7,8,True,True,True,False,True,True,True,True,False,True,False,True,0.1503156872268092,0.22552125490625952,1.094209161624892,0.29558345307418893,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満,19.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1802.T,大林組,プライム,5,5,8,True,True,False,True,False,True,False,True,False,True,True,True,0.6635087144184013,0.22892140210161616,1.2912611270825396,-0.020795222582146427,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,13.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1893.T,五洋建設,プライム,5,5,8,True,True,False,False,True,True,False,True,False,False,False,True,-0.30792402924212925,2.6488054098194813,1.5408815612382234,0.17920183306658682,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 過去に減益あり; 揺るぎない成長要件未満,17.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
6039.T,日本動物高度医療センター,グロース,5,5,8,True,True,False,False,True,True,False,True,False,True,True,False,0.47239263803680975,0.1611694995742754,0.6467661691542289,0.18271417740712662,True,True,False,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 経常成長の加速なし; 過去に減益あり; 揺るぎない成長要件未満,21.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7084.T,Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,グロース,5,4,8,True,False,False,False,True,True,False,True,False,False,True,False,0.32797427652733124,0.04527154012371004,1.46875,0.10086633663366337,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,37.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
7685.T,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース,5,5,8,True,True,False,False,True,True,False,True,False,False,True,False,0.5243282498184458,0.06922691107352619,1.6217882836587874,0.6562378797672915,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 過去に減益あり; 揺るぎない成長要件未満,23.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
155A.T,情報戦略テクノロジー,グロース,4,5,8,True,True,True,False,True,False,False,True,False,True,False,False,0.02857142857142847,0.09214059733046698,2.3559322033898304,0.48484848484848486,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 経常YoY+20%不足; 揺るぎない成長要件未満,51.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1801.T,大成建設,プライム,4,5,8,True,True,False,True,False,True,False,True,False,False,True,True,2.456823438704703,0.4597165057735433,0.9760177440968532,-0.05593517407932412,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,15.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1951.T,エクシオグループ,プライム,4,4,8,True,False,False,False,True,True,False,True,False,False,False,False,0.17837603596771578,0.1350437444943895,0.670863599677159,0.23405333117198898,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,16.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2331.T,ＡＬＳＯＫ,プライム,4,3,8,True,False,False,False,False,True,False,True,False,True,False,False,0.04707425490053185,0.062315669617691194,0.4552891080233079,0.11852326300188427,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,17.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
3110.T,日東紡績,プライム,4,5,8,True,True,False,True,False,True,False,True,False,False,True,True,0.8014766201804757,0.7016653823086425,0.6310975609756098,0.08334570834570834,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,14.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
4570.T,免疫生物研究所,グロース,4,2,8,True,False,False,False,False,False,False,True,False,False,True,,0.6719999999999999,,10.5,0.2744186046511628,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,50.5,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
6044.T,三機サービス,スタンダード,4,6,8,True,True,True,True,True,False,False,True,False,True,True,True,0.34696569920844333,0.3279251284635123,-0.29642857142857143,0.11786786786786786,False,False,True,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常利益率のYoY改善なし; 経常YoY+20%不足; 揺るぎない成長要件未満,19.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1332.T,ニッスイ,プライム,3,3,8,True,False,False,False,False,True,False,True,False,True,False,False,0.10443325094640676,0.12734969672665342,0.4673548733074139,0.03372144811350767,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,14.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1762.T,高松コンストラクショングループ,プライム,3,3,8,True,False,False,False,False,True,False,True,False,True,False,False,-0.06109637488947839,-0.050072456160362044,4.1520979020979025,0.09318714807804483,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,16.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1827.T,ナカノフドー建設,スタンダード,3,2,8,True,False,False,False,False,False,False,True,False,False,False,False,-0.028943937418513643,0.090072390938162,0.6935014548981572,0.141965734896303,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,13.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1899.T,福田組,プライム,3,4,8,True,False,False,True,False,True,False,True,False,False,True,True,0.4525374224169405,0.2081937589794267,0.2416555407209613,0.032897955190294495,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,12.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
1963.T,日揮ホールディングス,プライム,3,3,8,True,True,False,False,False,False,False,True,False,False,True,False,30.620111731843576,-0.5268272989031477,5.928074245939675,-0.054852549828925214,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,16.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,プライム,3,3,7,True,True,False,False,False,True,False,,False,False,True,,3.0,,0.34793767186067825,0.0015990526367397429,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2737.T,トーメンデバイス,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,0.18926325971304214,0.0581083410957659,0.5195402298850574,0.3474975578923174,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,12.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
2914.T,ＪＴ,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.6239291764331139,-0.37237735365958724,0.5313733071036263,0.1876709905037552,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,18.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions)
157A.T,グリーンモンスター,グロース,2,3,8,True,True,False,False,True,False,False,False,False,False,False,False,-0.4588744588744589,-0.13997385480777325,-0.7755102040816326,0.5779816513761468,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満; PER>60,177.0,
1803.T,清水建設,プライム,2,4,8,True,False,False,False,True,True,False,True,False,False,False,False,-4.61318947262277,0.12576975870096585,0.7150111075848937,0.04318403171656755,False,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,22.9,
1885.T,東亜建設工業,プライム,2,5,8,True,True,False,True,True,False,False,True,False,False,True,True,0.20703547805171385,0.7421038759862564,-0.1690472888642352,-0.00017201764409549436,False,False,False,False,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常利益率のYoY改善なし; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,13.7,
1941.T,中電工,プライム,2,2,8,True,False,False,False,False,False,False,True,False,False,True,,0.839114738659551,,0.07550910073887186,-0.023902336990625415,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,14.6,
4404.T,ミヨシ油脂,スタンダード,2,2,8,True,False,False,False,False,False,False,True,False,False,False,,0.159213569776407,,0.19556451612903225,0.04298708920187794,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,2.5,
