symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest,market_strength_ratio
1948.T,弘電社,スタンダード,7,7,8,True,True,True,True,True,True,False,True,False,True,True,True,1.4527863777089784,0.9240849263320778,0.33523537803138376,0.1814976146027795,True,True,True,True,年率5–10%の安定成長は未達; 揺るぎない成長要件未満,13.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3021.T,,,6,7,7,True,True,True,True,True,True,True,,False,True,True,True,0.21698113207547176,0.22237821242383649,0.23076923076923078,0.19939577039274925,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし; 公式スコア上限7/8: データ不足,,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
6580.T,ライトアップ,グロース,6,6,8,True,True,False,True,True,True,False,True,False,False,True,True,1.3089171974522293,1.2675634437940664,0.4120603015075377,0.21272365805168986,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 過去に減益あり; 揺るぎない成長要件未満,34.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1832.T,北海電工,札証,5,5,8,True,True,True,True,False,False,False,True,False,True,True,True,0.20355731225296436,0.5896449145506824,0.4928684627575277,0.04503337005118901,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,11.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3197.T,すかいらーくホールディングス,プライム,5,4,8,True,False,False,False,True,True,False,True,False,False,True,,1.470371648832125,,0.3590751095662687,0.14932832279247257,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,51.0,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4828.T,ビジネスエンジニアリング,プライム,5,7,8,True,True,True,False,True,True,True,True,False,True,True,False,0.20686097498065514,0.1998717880224985,0.31676022453889335,0.23584158415841583,True,True,False,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 経常成長の加速なし,20.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5013.T,ユシロ,スタンダード,5,4,8,True,True,False,True,False,False,False,True,False,True,True,True,0.317199654278306,1.056079244224264,-0.04236718224613315,-0.1574895167388465,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,6.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5802.T,住友電気工業,プライム,5,7,8,True,True,True,True,False,True,True,True,False,True,True,True,0.43723675472854673,0.336189647322364,0.4890718634261099,0.08195677383855415,False,False,True,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足,22.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1418.T,インターライフホールディングス,スタンダード,4,6,8,True,True,True,True,True,False,False,True,False,True,True,True,2.5714285714285716,1.223398935157332,-0.010282776349614395,-0.07423067888184168,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常YoY+20%不足; 揺るぎない成長要件未満,12.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3002.T,グンゼ,プライム,4,4,8,True,True,True,False,False,False,False,True,False,True,True,False,0.20755831118984358,0.16558067470722726,-0.02007168458781362,-0.027012696261819895,False,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,48.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
