symbol,score_0to7,notes,digest
1332.T,,データ取得エラー: INCOME_STATEMENT missing for 1332.T: {},
1384.T,,データ取得エラー: INCOME_STATEMENT missing for 1384.T: {},
1718.T,,データ取得エラー: INCOME_STATEMENT missing for 1718.T: {},
1719.T,,データ取得エラー: INCOME_STATEMENT missing for 1719.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
1802.T,,データ取得エラー: INCOME_STATEMENT missing for 1802.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
1870.T,,データ取得エラー: INCOME_STATEMENT missing for 1870.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
1882.T,,データ取得エラー: INCOME_STATEMENT missing for 1882.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
1925.T,,データ取得エラー: INCOME_STATEMENT missing for 1925.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
2676.T,,データ取得エラー: INCOME_STATEMENT missing for 2676.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
2726.T,,データ取得エラー: INCOME_STATEMENT missing for 2726.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
2802.T,,データ取得エラー: INCOME_STATEMENT missing for 2802.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
2986.T,,データ取得エラー: INCOME_STATEMENT missing for 2986.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
3046.T,,データ取得エラー: INCOME_STATEMENT missing for 3046.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
3143.T,,データ取得エラー: INCOME_STATEMENT missing for 3143.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
3245.T,,データ取得エラー: INCOME_STATEMENT missing for 3245.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
3489.T,,データ取得エラー: INCOME_STATEMENT missing for 3489.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
3563.T,,データ取得エラー: INCOME_STATEMENT missing for 3563.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
3964.T,,データ取得エラー: INCOME_STATEMENT missing for 3964.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
4091.T,,データ取得エラー: INCOME_STATEMENT missing for 4091.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
4432.T,,データ取得エラー: INCOME_STATEMENT missing for 4432.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
4626.T,,データ取得エラー: INCOME_STATEMENT missing for 4626.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
4674.T,,データ取得エラー: INCOME_STATEMENT missing for 4674.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
4828.T,,データ取得エラー: INCOME_STATEMENT missing for 4828.T: {'Information': 'We have detected your API key as 6V5EQ2I6PFG1Z79V and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.'},
